ID,1-MU-LA (x3 Con),3-MU-LA (x3 Con),4-MU-LA,6-MU-LA,8-MU-LA (x3 Con),9-MU-LA,12-MU-LA,14-MU-LA,15-MU-LA,18-MU-LA,31-MU-HM,32-MU-HM,34-MU-HM (x3 Con),35-MU-HM,36-MU-HM,37-MU-HM,38-MU-HM (x3 Con),39-MU-HM,40-MU-HM,20-MU-PM,21-MU-PM,22-MU-PM,23-MU-PM,24-MU-PM,25-MU-PM,26-MU-PM,27-MU-PM,28-MU-PM,30-MU-PM,41-MU-HPS (x3 Con),42-MU-HPS (x3 Con),43-MU-HPS (x3 Con),44-MU-HPS,46-MU-HPS,47-MU-HPS,48-MU-HPS (x3 Con),49-MU-HPS (x3 Con),50-MU-HPS,51-MU-PPS (x3 Con),52-MU-PPS (x3 Con),53-MU-PPS (x3 Con),54-MU-PPS (x3 Con),55-MU-PPS,56-MU-PPS (x3 Con),57-MU-PPS,58-MU-PPS (x3 Con),59-MU-PPS,60-MU-PPS (x3 Con),1-SK-LA,3-SK-LA,4-SK-LA,6-SK-LA,8-SK-LA (ran 2015),9-SK-LA,31-SK-HM,32-SK-HM,33-SK-HM,38-SK-HM,39-SK-HM,40-SK-HM,20-SK-PM,22-SK-PM,23-SK-PM,26-SK-PM,21-SK-PM,25-SK-PM,41-SK-HPS,42-SK-HPS,43-SK-HPS,47-SK-HPS,46-SK-HPS,48-SK-HPS,51-SK-PPS,52-SK-PPS,53-SK-PPS,56-SK-PPS,57-SK-PPS,58-SK-PPS
Tissue,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,muscle,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin
Time,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,entry,entry,entry,entry,entry,entry,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,holding,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn,post-spawn
Creek,both,both,both,both,both,both,both,both,both,both,H,H,H,H,H,H,H,H,H,P,P,P,P,P,P,P,P,P,P,H,H,H,H,H,H,H,H,H,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA,NA,NA,H,H,H,H,H,H,P,P,P,P,P,P,H,H,H,H,H,H,P,P,P,P,P,P
Sex,F,M,M,F,M,F,M,F,F,M,M,M,M,M,F,F,F,F,F,M,F,M,M,M,F,F,F,F,M,F,F,F,F,M,M,M,M,M,M,M,M,M,M,F,F,F,F,F,F,M,M,F,M,F,M,M,M,F,F,F,M,M,M,F,F,F,F,F,F,M,M,M,M,M,M,F,F,F
Replicate,1,1,2,2,3,3,4,4,5,5,1,2,3,4,1,2,3,4,5,1,1,2,3,4,2,3,4,5,5,1,2,3,4,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,1,2,2,3,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.0323,0.0326,0.0421,0.0358,0.0354,0,0,0,0,0,0,0.0171,0.0228,0,0,0.0207,0.0316,0,0,0,0,0.0202,0.0198,0.0177,0.0171,0,0.0223,0.0299,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212,0,0,0,0,0,0,0,0,0,0.0218,0,0.0219,0,0,0,0.0172,0.0165,0.0181,0,0,0
16,0.1474,0.1552,0.1228,0.0778,0.1211,0.1081,0.148,0.1006,0.1717,0.1384,0.0814,0.0742,0.0385,0.0547,0.0545,0.0559,0.066,0.0839,0.0632,0.1325,0.0868,0.1753,0.1681,0.1108,0.1423,0.1521,0.1544,0.1485,0.1454,0.0977,0.1302,0.1396,0.1679,0.1889,0.1968,0.1436,0.1081,0.1803,0.1944,0.1481,0.199,0.1861,0.1531,0.1736,0.1371,0.1782,0.1874,0.1926,0.1481,0.1243,0.162,0.1423,0.1667,0.1502,0.1564,0.1717,0.2727,0.1147,0.0649,0.0747,0.2432,0.2379,0.1882,0.2197,0.1815,0.1319,0.3384,0.3351,0.2451,0.2457,0.2255,0.3042,0.3667,0.3075,0.3112,0.3111,0.2459,0.2341
18,0.0458,0.0467,0.0319,0.0664,0.0536,0.025,0.0321,0.0339,0.0412,0.041,0.0356,0.0324,0.0292,0.0305,0.0337,0.0375,0.0569,0.0372,0.0343,0.0362,0.0266,0.0429,0.0398,0.0309,0.0342,0.0415,0.0413,0.0476,0.0351,0.0718,0.0591,0.062,0.0453,0.0493,0.0696,0.0385,0.0545,0.0467,0.0571,0.0492,0.0642,0.066,0.0398,0.0567,0.0468,0.059,0.0507,0.0566,0.0265,0.0217,0.0327,0.0253,0.0397,0.0277,0.047,0.0557,0.0626,0.0504,0.028,0.0325,0.0613,0.0601,0.0559,0.0941,0.0541,0.041,0.184,0.14,0.1611,0.1038,0.066,0.0864,0.1241,0.1174,0.1111,0.1557,0.0705,0.0984
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212,0,0.0726,0.0903,0,0.0704,0.038,0.1285
