ID,Tissue,location,creek,sex,safa_rel,mufa_rel,pufa_rel,18.2n6c,18.3n3,20.4n3,20.5n3,22.5n3,22.6n3
1,muscle,entry,NA,F,0.193209286,0.349667486,0.457123228,0,0,0,0.114119533,0.030202215,0.31280148
3,muscle,entry,NA,M,0.201905452,0.358394151,0.439700397,0,0,0,0.108650909,0.024450989,0.306598499
4,muscle,entry,NA,M,0.154626657,0.549545656,0.295827687,0,0,0,0.093805942,0,0.202021744
6,muscle,entry,NA,F,0.14422428,0.456167686,0.399608034,0,0,0,0.108107188,0,0.291500846
8,muscle,entry,NA,M,0.174726826,0.339010185,0.486262988,0,0,0,0.12181906,0.021434565,0.343009364
9,muscle,entry,NA,F,0.133097012,0.646823891,0.220079098,0,0,0,0.06079757,0.017658953,0.141622575
12,muscle,entry,NA,M,0.180110904,0.509894192,0.309994904,0,0,0,0.101455152,0.018369879,0.190169873
14,muscle,entry,NA,F,0.134479913,0.48992327,0.375596817,0,0,0,0.090961357,0.027467918,0.257167542
15,muscle,entry,NA,F,0.212937606,0.482141355,0.304921039,0,0,0,0.11121938,0.031290334,0.162411325
18,muscle,entry,NA,M,0.179434772,0.567396633,0.253168594,0.019264702,0,0,0.082062502,0.018485906,0.133355484
31,muscle,holding,H,M,0.117024474,0.568885117,0.314090409,0,0,0,0.068065299,0.024149365,0.221875745
32,muscle,holding,H,M,0.106676187,0.595536445,0.297787367,0,0,0,0.074531528,0.023403376,0.199852463
34,muscle,holding,H,M,0.067746035,0.669664712,0.262589254,0,0,0,0.063496065,0.023152974,0.175940215
35,muscle,holding,H,M,0.085200741,0.668510545,0.246288714,0,0,0,0.051985614,0.021349079,0.172954022
36,muscle,holding,H,F,0.088163593,0.617773888,0.294062519,0,0,0,0.085128778,0.031582291,0.177351449
37,muscle,holding,H,F,0.093443471,0.490106124,0.416450406,0,0,0,0.121469953,0.039442027,0.255538426
38,muscle,holding,H,F,0.122903023,0.350878276,0.5262187,0.017255948,0,0.023021422,0.140728471,0.058343144,0.286869716
39,muscle,holding,H,F,0.121152223,0.648996094,0.229851683,0.017991608,0,0,0.069277801,0.025134876,0.117447398
40,muscle,holding,H,F,0.09755029,0.666106957,0.236342753,0,0,0,0.065650958,0.031009252,0.139682544
20,muscle,holding,P,M,0.168729954,0.572108874,0.259161173,0.016718732,0,0,0.062439999,0.019389943,0.160612498
21,muscle,holding,P,F,0.113471342,0.443711591,0.442817067,0,0,0,0.123683122,0.04187163,0.277262315
22,muscle,holding,P,M,0.218259376,0.384199859,0.397540765,0.016442469,0,0,0.097389303,0.026952021,0.256756972
23,muscle,holding,P,M,0.20791982,0.478372459,0.31370772,0,0,0,0.081224136,0.022912504,0.20957108
24,muscle,holding,P,M,0.141708007,0.612648574,0.245643419,0,0,0,0.061080447,0.021912577,0.162650395
25,muscle,holding,P,F,0.176436523,0.495343274,0.328220202,0.019421407,0,0,0.09469186,0.033193946,0.18091299
26,muscle,holding,P,F,0.193657884,0.478495491,0.327846625,0.019109009,0,0,0.092210283,0.038571764,0.17795557
27,muscle,holding,P,F,0.195650637,0.474102006,0.330247357,0.017551047,0,0,0.099274997,0.036370642,0.177050672
28,muscle,holding,P,F,0.196071035,0.422240129,0.381688836,0.017716202,0,0,0.117008328,0.041447964,0.205516342
30,muscle,holding,P,M,0.202122346,0.568457537,0.229420117,0.018534192,0,0,0.055911692,0.023114009,0.131860224
41,muscle,ps,H,F,0.179666178,0.10557589,0.714757932,0,0,0.01831354,0.193221845,0.04351144,0.459711107
42,muscle,ps,H,F,0.189337061,0.217033615,0.593629324,0,0,0,0.189822813,0.051063748,0.352742763
43,muscle,ps,H,F,0.201689097,0.18550592,0.612804983,0,0,0,0.13919256,0.039571771,0.434040653
44,muscle,ps,H,F,0.213219999,0.411713738,0.375066263,0.017122042,0,0,0.107672304,0.0308233,0.219448618
46,muscle,ps,H,M,0.238198972,0.31144793,0.450353098,0,0,0,0.115956597,0.026288946,0.308107555
47,muscle,ps,H,M,0.26643307,0.174563517,0.559003413,0,0.019438529,0,0.169183668,0.033887445,0.336493771
48,muscle,ps,H,M,0.182071027,0.297575686,0.520353286,0,0,0,0.123692617,0.042772888,0.353887782
49,muscle,ps,H,M,0.162639728,0.295598441,0.541761831,0,0,0,0.1470028,0.043244758,0.351514273
50,muscle,ps,H,M,0.22697913,0.426950262,0.346070608,0,0,0,0.100184649,0.022278897,0.223607062
51,muscle,ps,P,M,0.251505529,0.151281666,0.597212805,0,0,0,0.159428342,0.041635408,0.396149055
52,muscle,ps,P,M,0.197309899,0.312487455,0.490202646,0,0,0,0.115598485,0.03290763,0.341696531
53,muscle,ps,P,M,0.263225776,0.158093921,0.578680302,0,0,0,0.120370112,0.039890659,0.418419531
54,muscle,ps,P,M,0.252103937,0.140222944,0.607673119,0,0,0,0.167364148,0.037256812,0.403052159
55,muscle,ps,P,M,0.192878977,0.381870616,0.425250407,0,0,0,0.124257583,0.035194981,0.265797844
56,muscle,ps,P,F,0.23033301,0.207090483,0.562576507,0.015651571,0,0,0.134666514,0.044979383,0.367279039
57,muscle,ps,P,F,0.183902405,0.462915444,0.353182151,0,0,0,0.113014446,0.030157314,0.210010391
58,muscle,ps,P,F,0.237243615,0.218900651,0.543855734,0,0,0,0.176348487,0.039913107,0.32759414
59,muscle,ps,P,F,0.238087432,0.224112269,0.537800299,0.015928198,0,0,0.138277427,0.031750742,0.351843933
60,muscle,ps,P,F,0.249246258,0.20490071,0.545853032,0,0,0,0.156895942,0.03947796,0.349479131
