ID,Tissue,location,creek,safa_rel,mufa_rel,pufa_rel,18.2n6c,20.4n6,20.5n3,22.5n3,22.6n3
1,skin,entry,NA,0.213609699,0.702656201,0.0837341,0.01752659,0,0.034094114,0,0.032113396
3,skin,entry,NA,0.178345084,0.749968387,0.071686528,0.016847993,0,0.029462759,0,0.025375776
4,skin,entry,NA,0.227278503,0.690395227,0.082326271,0.016558274,0,0.037046341,0,0.028721656
6,skin,entry,NA,0.209737189,0.680364215,0.109898597,0.018503771,0,0.04842535,0,0.042969476
8,skin,entry,NA,0.242238196,0.608385688,0.149376116,0.017944255,0,0.063068968,0,0.068362893
9,skin,entry,NA,0.213283152,0.665237815,0.121479033,0,0,0.05036978,0.015880979,0.055228274
31,skin,holding,H,0.203384648,0.606754021,0.189861331,0,0.01654038,0.057553917,0.015709156,0.100057878
32,skin,holding,H,0.227332908,0.504790861,0.267876231,0,0.020480518,0.084312026,0.020124105,0.142959582
33,skin,holding,H,0.356425314,0.27595519,0.367619496,0,0,0.124222857,0,0.243396639
38,skin,holding,H,0.165134092,0.585701998,0.24916391,0.019310848,0,0.08392339,0.043527091,0.102402581
39,skin,holding,H,0.09293192,0.768255824,0.138812256,0,0,0.037143279,0.019864096,0.08180488
40,skin,holding,H,0.107225042,0.756237843,0.136537115,0,0,0.049652546,0.024333288,0.06255128
20,skin,holding,P,0.321553226,0.406690845,0.27175593,0,0.023502927,0.093765137,0.018845184,0.135642682
22,skin,holding,P,0.320786234,0.477306667,0.201907098,0,0.018945289,0.071489957,0.015467857,0.096003995
23,skin,holding,P,0.24408513,0.466984242,0.288930628,0.015623807,0.023055564,0.091946045,0.022868909,0.135436303
26,skin,holding,P,0.313795234,0.339211027,0.346993739,0,0.027347059,0.140639318,0.038874255,0.140133107
21,skin,holding,P,0.256403676,0.531066362,0.212529962,0,0,0.085809019,0.031810532,0.094910412
25,skin,holding,P,0.204532771,0.649780226,0.145687002,0.015926121,0,0.04616222,0.020883746,0.062714915
41,skin,ps,H,0.54423359,0.292711751,0.163054659,0,0,0.070428072,0,0.092626587
42,skin,ps,H,0.475117759,0.304241428,0.220640814,0,0,0.095894412,0,0.124746401
43,skin,ps,H,0.428101217,0.383274088,0.188624696,0,0,0.078289851,0,0.110334845
47,skin,ps,H,0.349504965,0.341872596,0.308622439,0,0.039499228,0.106936537,0,0.162186674
46,skin,ps,H,0.332934775,0.510728913,0.156336312,0,0.019678726,0.049131954,0,0.087525632
48,skin,ps,H,0.410352706,0.359429731,0.230217562,0,0.026133435,0.089302589,0,0.114781538
51,skin,ps,P,0.598310041,0.21224211,0.189447849,0,0,0.075189162,0,0.114258686
52,skin,ps,P,0.548885127,0.222320531,0.228794342,0,0.039043898,0.068937014,0,0.12081343
53,skin,ps,P,0.440396258,0.253796605,0.305807136,0,0.042957055,0.133185306,0,0.129664775
56,skin,ps,P,0.559429401,0.257751867,0.182818733,0,0,0.063659055,0,0.119159677
57,skin,ps,P,0.384283148,0.575829103,0.03988775,0,0,0.03988775,0,0
58,skin,ps,P,0.460862553,0.337917049,0.201220398,0,0.033608303,0.130925269,0,0.036686827
