TimePt,Stream,Sex,Mass FA sum
LA,na,F,325.7608573
LA,na,M,256.1662324
LA,na,M,190.7136597
LA,na,F,298.3290246
LA,na,M,230.1647818
LA,na,F,307.9810796
LA,na,M,243.1913027
LA,na,F,170.0697455
LA,na,F,611.8562197
LA,na,M,353.9708554
Holding,Hansen,M,129.7258645
Holding,Hansen,M,155.9292319
Holding,Hansen,M,464.7559158
Holding,Hansen,M,156.6260921
Holding,Hansen,F,127.8878884
Holding,Hansen,F,131.842267
Holding,Hansen,F,292.9279737
Holding,Hansen,F,167.0950035
Holding,Hansen,F,209.7698979
Post-spawn,Hansen,F,163.8471835
Post-spawn,Hansen,F,190.7205455
Post-spawn,Hansen,F,208.0758372
Post-spawn,Hansen,F,105.9720852
Post-spawn,Hansen,M,105.578534
Post-spawn,Hansen,M,74.54710182
Post-spawn,Hansen,M,259.8288412
Post-spawn,Hansen,M,259.9391604
Post-spawn,Hansen,M,118.7348342
Holding,Pick,M,267.2937415
Holding,Pick,F,101.7149593
Holding,Pick,M,121.5081895
Holding,Pick,M,166.7414975
Holding,Pick,M,235.6112484
Holding,Pick,F,231.676757
Holding,Pick,F,222.6610862
Holding,Pick,F,226.5953093
Holding,Pick,F,171.1932331
Holding,Pick,M,721.0646688
Post-spawn,Pick,M,247.4981891
Post-spawn,Pick,M,302.9096477
Post-spawn,Pick,M,243.3398532
Post-spawn,Pick,M,263.2541736
Post-spawn,Pick,M,124.7280233
Post-spawn,Pick,F,309.5017912
Post-spawn,Pick,F,170.8876878
Post-spawn,Pick,F,293.7801449
Post-spawn,Pick,F,165.7479786
Post-spawn,Pick,F,345.5716156
